GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Gateway,com.flightapp.gateway,FallbackController,0,41,0,0,0,9,0,3,0,3
API Gateway,com.flightapp.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
