GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flightAppWebflux,com.flightapp,FlightAppWebfluxApplication,8,0,0,0,3,0,2,0,2,0
flightAppWebflux,com.flightapp.controller,FlightController,0,38,0,0,0,7,0,7,0,7
flightAppWebflux,com.flightapp.service.impl,FlightServiceImpl,0,181,0,0,0,56,0,9,0,9
flightAppWebflux,com.flightapp.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
flightAppWebflux,com.flightapp.exception,PNRNotFoundException,0,4,0,0,0,2,0,1,0,1
flightAppWebflux,com.flightapp.exception,FlightNotFoundException,0,4,0,0,0,2,0,1,0,1
flightAppWebflux,constants,BookingStatus,0,15,0,0,0,2,0,1,0,1
flightAppWebflux,constants,MealType,0,21,0,0,0,2,0,1,0,1
flightAppWebflux,constants,FlightStatus,0,15,0,0,0,2,0,1,0,1
